zip,sqmiles,value
11207,2.672,5137.72
11101,2.604,5183.95
10016,0.532,20983.08
11201,1.407,7479.03
10019,0.688,15398.26
10022,0.427,24199.06
10314,13.7,734.67
10036,0.439,22419.13
10013,0.55,17512.73
10001,0.615,15404.88
11203,2.145,4346.85
11385,3.615,2554.63
11234,7.41,1203.64
11208,3.577,2381.05
11236,3.599,2382.33
11434,3.268,2616.59
11226,1.289,6443.75
10002,0.879,9277.59
11220,1.745,4540.4
10467,2.337,3253.32
11235,2.244,3309.27
11233,1.349,5431.43
11355,1.735,4222.48
11212,1.539,4753.09
11206,1.434,5057.88
11354,2.178,3357.67
11377,2.537,2859.68
10018,0.323,22092.88
11213,1.09,6518.35
11211,2.312,3094.29
11230,1.84,3883.15
11368,2.63,2639.92
11373,1.522,4538.76
10017,0.317,21148.26
11432,2.149,3103.77
10306,7.475,885.08
10011,0.662,9936.56
10003,0.576,11387.15
11215,2.177,2941.2
11217,0.75,8577.33
10029,0.812,7766.01
10461,2.393,2627.25
11216,0.935,6606.42
11218,1.428,4378.85
10458,1.005,6190.05
11238,1.107,5527.55
10457,1.059,5766.76
11221,1.383,4349.24
11375,1.989,3027.15
11210,1.642,3704.02
11223,2.074,2892.96
10035,1.424,4256.32
11214,2.169,2735.36
10472,1.054,5649.91
10065,0.38,15142.11
10466,2.012,2899.11
11229,2.158,2652.92
10451,1.029,5600.58
11222,1.535,3732.9
11372,0.741,7576.25
11435,1.529,3661.22
10027,0.869,6392.41
10469,2.473,2247.07
11420,2.077,2684.16
11219,1.482,3724.7
10468,1.071,5097.11
11204,1.589,3395.22
10462,1.475,3662.37
11205,0.945,5553.44
10454,1.048,5089.69
11422,2.004,2572.85
11413,3.104,1663.02
11419,1.119,4569.26
10463,1.45,3446.9
10305,4.125,1198.3
10010,0.382,12856.02
10460,1.312,3780.49
10025,0.752,6562.5
10304,3.876,1280.7
11225,0.884,5440.05
10023,0.49,9736.73
10312,7.681,630.26
11378,2.577,1874.27
11209,2.12,2270.75
10012,0.323,14600.62
10453,0.916,5146.29
10014,0.55,8361.82
10456,1.018,4449.9
11418,1.633,2776.48
10301,3.607,1250.9
10452,0.988,4381.58
11374,0.943,4635.21
10459,0.82,5197.56
10128,0.466,8967.81
11232,1.191,3465.16
10024,0.858,4867.13
11237,0.984,4177.85
11417,1.119,3607.69
10021,0.381,10459.32
11361,1.766,2287.09
11433,1.552,2544.46
11231,1.422,2832.63
11367,2.356,1681.66
10032,0.655,6102.29
10033,0.596,6578.86
11691,2.753,1429.35
11358,1.949,1918.42
11102,0.789,4709.76
10009,0.617,5784.44
11412,1.647,2156.65
10465,3.39,1037.46
10455,0.713,4920.06
11357,2.811,1205.98
10473,2.139,1580.18
11365,2.498,1289.83
11421,1.29,2486.05
10034,1.09,2979.82
11224,1.586,1993.06
11106,0.855,3712.28
11369,1.09,2952.29
11379,2.075,1531.08
11228,1.472,2137.91
10475,1.731,1834.2
10031,0.649,4620.96
11423,1.413,2144.37
10028,0.313,9300.32
11103,0.711,3959.21
11416,0.662,4164.65
10309,6.716,417.66
10303,3.144,872.77
11364,2.468,1094.81
11370,1.49,1717.45
10310,1.795,1398.33
11414,2.312,1091.26
10007,0.159,15584.91
11105,1.682,1452.44
11429,1.294,1865.53
10474,1.529,1594.51
10037,0.257,9210.12
11356,1.577,1485.1
10030,0.279,7756.27
10302,1.189,1825.06
10026,0.332,6469.88
10075,0.184,11288.04
10038,0.3,6913.33
11415,0.566,3519.43
10470,1.43,1395.1
11428,0.832,2425.48
11411,1.168,1708.05
10040,0.382,5243.46
10308,1.969,987.81
11362,2.531,769.26
11427,1.581,1215.69
11436,0.793,2305.17
11004,0.95,1793.68
11104,0.388,4283.51
11426,1.349,1252.04
11366,1.093,1526.08
10471,2.57,582.1
10004,0.545,2653.21
10039,0.437,3270.02
11239,0.617,2235.01
11694,1.336,926.65
11363,0.86,1300.0
11693,0.986,1107.51
11692,1.002,988.02
11360,1.393,689.16
10006,0.092,10152.17
10005,0.073,11301.37
10464,3.471,220.4
10307,1.963,365.77
10020,0.028,18142.86
11001,2.23,134.98
11697,2.595,91.71
10280,0.116,1991.38
11040,4.786,45.76
10044,0.23,900.0
10069,0.0,N/A
10119,0.0,N/A
11005,0.183,497.27
11430,6.999,12.72
11109,0.0,N/A
10282,0.0,N/A
11359,0.25,100.0
10279,0.0,N/A
10111,0.0,N/A
10803,2.188,1.83
10153,0.0,N/A
10103,0.0,N/A
11251,0.0,N/A
00083,0.0,N/A
11371,1.095,N/A
